birmingham,charlotte,cincinnati,charleston,colorado springs,columbia,columbus,dallas,greensboro,houston,indianapolis,kansas-city,las-vegas,memphis,minneapolis,nashville,phoenix,raleigh,reno,salt-lake,st-louis,tucson,winston-salem
,,45263,,,,,75277,,77568,,64058,,,55412,,85267,,,,63109,,
,,45262,,,,,75285,,77571,,64126,,,55413,,85274,,,,63110,,
,,45267,,,,,75284,,77573,,64053,,,55414,,85216,,,,63111,,
,,45264,,,,,75295,,77578,,64145,,,55415,,85280,,,,63112,,
,,45269,,,,,75303,,77581,,64016,,,55416,,85030,,,,63113,,
,,45268,,,,,75313,,77583,,64105,,,55417,,85275,,,,63115,,
,,45271,,,,,75312,,77584,,64070,,,55418,,85277,,,,63116,,
,,45270,,,,,75320,,77586,,64149,,,55419,,85244,,,,63117,,
,,45274,,,,,75315,,77587,,64054,,,55420,,85026,,,,63118,,
,,45273,,,,,75326,,77590,,64136,,,55421,,85271,,,,63119,,
,,45296,,,,,75339,,77591,,64120,,,55422,,85285,,,,63120,,
,,45280,,,,,75336,,77598,,64139,,,55423,,85287,,,,63123,,
,,45299,,,,,75346,,,,64088,,,55424,,85036,,,,63125,,
,,45298,,,,,75342,,,,64125,,,55425,,85299,,,,63130,,
,,45950,,,,,75354,,,,64146,,,55426,,85309,,,,63133,,
,,45999,,,,,75353,,,,64101,,,55427,,85311,,,,63136,,
,,45140,,,,,75356,,,,64102,,,55428,,85312,,,,63137,,
,,45040,,,,,75355,,,,64147,,,55429,,85318,,,,63139,,
,,45036,,,,,75358,,,,64121,,,55430,,85046,,,,63143,,
,,45458,,,,,75357,,,,64192,,,55431,,,,,,63147,,
,,45005,,,,,75360,,,,64172,,,55432,,,,,,63155,,
,,45039,,,,,75359,,,,64183,,,55433,,,,,,63301,,
,,45066,,,,,75364,,,,64193,,,55434,,,,,,63303,,
,,45068,,,,,75363,,,,64013,,,55435,,,,,,63304,,
,,45152,,,,,75367,,,,64051,,,55436,,,,,,63332,,
,,45107,,,,,75369,,,,64066,,,55437,,,,,,63333,,
,,45050,,,,,75372,,,,64065,,,55438,,,,,,63334,,
,,45113,,,,,75371,,,,64142,,,55439,,,,,,63341,,
,,45065,,,,,75374,,,,64141,,,55441,,,,,,63343,,
,,45162,,,,,75373,,,,64148,,,55442,,,,,,63344,,
,,45054,,,,,75378,,,,64160,,,55443,,,,,,63347,,
,,45034,,,,,75376,,,,64170,,,55444,,,,,,63348,,
,,45032,,,,,75380,,,,64171,,,55445,,,,,,63349,,
,,,,,,,75382,,,,64179,,,55446,,,,,,63351,,
,,,,,,,75381,,,,64173,,,55447,,,,,,63357,,
,,,,,,,75386,,,,64180,,,55448,,,,,,63359,,
,,,,,,,75389,,,,64185,,,55449,,,,,,63362,,
,,,,,,,75388,,,,64184,,,55450,,,,,,63363,,
,,,,,,,75391,,,,64187,,,55454,,,,,,63366,,
,,,,,,,75390,,,,64189,,,55455,,,,,,63367,,
,,,,,,,75393,,,,64191,,,56011,,,,,,63368,,
,,,,,,,75392,,,,64194,,,56017,,,,,,63369,,
,,,,,,,75395,,,,64196,,,56028,,,,,,63370,,
,,,,,,,75394,,,,64198,,,56044,,,,,,63373,,
,,,,,,,75397,,,,64197,,,56050,,,,,,63376,,
,,,,,,,75396,,,,64199,,,56052,,,,,,63377,,
,,,,,,,75059,,,,64999,,,56054,,,,,,63379,,
,,,,,,,75067,,,,64944,,,56057,,,,,,63381,,
,,,,,,,75068,,,,64002,,,56058,,,,,,63383,,
,,,,,,,75056,,,,64076,,,56063,,,,,,63385,,
,,,,,,,75007,,,,64037,,,56069,,,,,,63386,,
,,,,,,,75287,,,,64067,,,56071,,,,,,63387,,
,,,,,,,75028,,,,64020,,,56082,,,,,,63389,,
,,,,,,,75033,,,,64011,,,56096,,,,,,63390,,
,,,,,,,76210,,,,64096,,,56304,,,,,,63627,,
,,,,,,,75034,,,,64097,,,56313,,,,,,63628,,
,,,,,,,76262,,,,64017,,,56330,,,,,,65041,,
,,,,,,,76227,,,,64074,,,56342,,,,,,65066,,
,,,,,,,75077,,,,64021,,,56353,,,,,,65441,,
,,,,,,,76092,,,,64071,,,56357,,,,,,65446,,
,,,,,,,75010,,,,64001,,,56358,,,,,,65449,,
,,,,,,,76226,,,,65321,,,56359,,,,,,65453,,
,,,,,,,76209,,,,64022,,,56363,,,,,,65456,,
,,,,,,,75022,,,,65327,,,56386,,,,,,65535,,
,,,,,,,76208,,,,64152,,,56450,,,,,,65559,,
,,,,,,,75036,,,,64151,,,,,,,,,65560,,
,,,,,,,75078,,,,64079,,,,,,,,,65565,,
,,,,,,,76205,,,,64089,,,,,,,,,65586,,
,,,,,,,76201,,,,64154,,,,,,,,,,,
,,,,,,,76052,,,,64153,,,,,,,,,,,
,,,,,,,76266,,,,64150,,,,,,,,,,,
,,,,,,,76177,,,,64098,,,,,,,,,,,
,,,,,,,76247,,,,64484,,,,,,,,,,,
,,,,,,,75057,,,,64439,,,,,,,,,,,
,,,,,,,76207,,,,64444,,,,,,,,,,,
,,,,,,,75065,,,,64163,,,,,,,,,,,
,,,,,,,76249,,,,64164,,,,,,,,,,,
,,,,,,,76258,,,,64018,,,,,,,,,,,
,,,,,,,76272,,,,64092,,,,,,,,,,,
,,,,,,,76259,,,,64028,,,,,,,,,,,
,,,,,,,75008,,,,64168,,,,,,,,,,,
,,,,,,,75027,,,,64190,,,,,,,,,,,
,,,,,,,75029,,,,64195,,,,,,,,,,,
,,,,,,,76202,,,,64024,,,,,,,,,,,
,,,,,,,76204,,,,64085,,,,,,,,,,,
,,,,,,,76203,,,,64062,,,,,,,,,,,
,,,,,,,76206,,,,64077,,,,,,,,,,,
,,,,,,,76299,,,,64671,,,,,,,,,,,
,,,,,,,75165,,,,64668,,,,,,,,,,,
,,,,,,,75154,,,,64624,,,,,,,,,,,
,,,,,,,76065,,,,64084,,,,,,,,,,,
,,,,,,,75119,,,,64035,,,,,,,,,,,
,,,,,,,75167,,,,64017,,,,,,,,,,,
,,,,,,,76084,,,,64637,,,,,,,,,,,
,,,,,,,76050,,,,64036,,,,,,,,,,,
,,,,,,,75125,,,,64680,,,,,,,,,,,
,,,,,,,75152,,,,,,,,,,,,,,,
,,,,,,,76651,,,,,,,,,,,,,,,
,,,,,,,76064,,,,,,,,,,,,,,,
,,,,,,,76670,,,,,,,,,,,,,,,
,,,,,,,76666,,,,,,,,,,,,,,,
,,,,,,,76041,,,,,,,,,,,,,,,
,,,,,,,75101,,,,,,,,,,,,,,,
,,,,,,,75120,,,,,,,,,,,,,,,
,,,,,,,75168,,,,,,,,,,,,,,,
,,,,,,,76623,,,,,,,,,,,,,,,
,,,,,,,75751,,,,,,,,,,,,,,,
,,,,,,,75143,,,,,,,,,,,,,,,
,,,,,,,75156,,,,,,,,,,,,,,,
,,,,,,,75758,,,,,,,,,,,,,,,
,,,,,,,75752,,,,,,,,,,,,,,,
,,,,,,,75148,,,,,,,,,,,,,,,
,,,,,,,75763,,,,,,,,,,,,,,,
,,,,,,,75756,,,,,,,,,,,,,,,
,,,,,,,75124,,,,,,,,,,,,,,,
,,,,,,,75770,,,,,,,,,,,,,,,
,,,,,,,75778,,,,,,,,,,,,,,,
,,,,,,,75163,,,,,,,,,,,,,,,
,,,,,,,75782,,,,,,,,,,,,,,,
,,,,,,,75189,,,,,,,,,,,,,,,
,,,,,,,75160,,,,,,,,,,,,,,,
,,,,,,,75401,,,,,,,,,,,,,,,
